q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
233	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Some	Some	Very fair	Not too much	Some	Not too much	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	(VOL) Don't know/Refused	A lot
234	Dissatisfied	Disapprove	Some of the time	Frustrated	(VOL) Never	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Not too fair	Not too much	Not too much	A lot	Not too much	A lot	(VOL) Same	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
235	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Some	Moderately fair	Some	A lot	A lot	Some	Some	Increasing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
236	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	(VOL) Don't know/Refused	Never fair game	Some	Only a little	Only a little	Moderately fair	Not too much	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
237	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	None at all	Very fair	A lot	Some	A lot	A lot	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	Nothing at all
238	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #2	Statement #2	Oppose	Sometimes fair game [OR IS IT]	None at all	None at all	(VOL) Don't know/Refused	Very fair	Some	Not at all	Not at all	Not at all	A lot	Increasing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Approve	Very well	A lot
239	(VOL) Don't know/Refused	Approve	Only now and then	Frustrated	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	(VOL) Neither/Both equally	Statement #1	Statement #2	Strongly oppose	Never fair game	A lot	A lot	A lot	Moderately fair	Some	Some	A lot	Some	Some	Increasing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A little
240	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Never fair game	Some	Some	Only a little	Moderately fair	Some	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A little
241	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	A lot	A lot	A lot	Not fair at all	Not at all	Not too much	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A little
242	Dissatisfied	Disapprove	Most of the time	(VOL) Don't know/Refused	(VOL) Never	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	(VOL) Don't know/Refused	(VOL) Other/Depends	Some	Some	Some	Not fair at all	A lot	Some	A lot	Some	A lot	Losing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
243	Satisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #1	Strongly favor	Never fair game	Only a little	Only a little	A lot	Moderately fair	A lot	Not too much	Some	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	A lot
244	Dissatisfied	Disapprove	Hardly at all	Angry	Only some of the time	No, not keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	(VOL) Don't know/Refused	Never fair game	A lot	A lot	A lot	Not fair at all	Some	A lot	A lot	Some	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
245	Satisfied	(VOL) Don't know/Refused	Only now and then	Basically content	Most of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Favor	Never fair game	Only a little	Only a little	None at all	Moderately fair	Not at all	Not too much	Some	Not too much	Some	Losing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A little
246	Dissatisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Oppose	Never fair game	Only a little	Only a little	Only a little	Moderately fair	Not too much	Not too much	Not too much	Not at all	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
247	Satisfied	Approve	Most of the time	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Favor	(VOL) Don't know/Refused	Only a little	Some	None at all	Moderately fair	A lot	Some	Not at all	Not at all	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A lot
248	(VOL) Don't know/Refused	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Favor	Never fair game	Some	Some	None at all	Moderately fair	Not at all	Some	Not at all	Not at all	Not at all	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
249	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	None at all	A lot	A lot	Not fair at all	A lot	A lot	Not at all	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
250	Dissatisfied	Disapprove	Most of the time	Angry	(VOL) Don't know/Refused	No, not keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Oppose	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Not fair at all	A lot	Not at all	A lot	Not at all	A lot	(VOL) Same	Friendly toward religion	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	Disapprove	(VOL) Don't know/Refused	A lot
251	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	Some	Very fair	Not at all	A lot	Not at all	Some	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
252	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Only a little	Some	Some	Very fair	Not at all	Not too much	A lot	Not at all	Not too much	Increasing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A lot
253	(VOL) Don't know/Refused	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #2	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Not fair at all	Not at all	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
254	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Some	Not at all	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Unfriendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
255	Satisfied	Approve	Only now and then	Basically content	Only some of the time	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #1	(VOL) Don't know/Refused	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	Some	Moderately fair	A lot	Some	Some	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
256	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Only a little	Only a little	Not fair at all	A lot	A lot	A lot	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
257	Dissatisfied	Approve	Most of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	None at all	None at all	A lot	(VOL) Don't know/Refused	A lot	A lot	A lot	Not at all	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	(VOL) Don't know/Refused	A lot
258	Satisfied	Approve	Some of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	Some	Moderately fair	Some	A lot	Not too much	Not too much	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A lot
259	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	Only a little	Not fair at all	Not at all	Some	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
260	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Some	Some	Some	Moderately fair	Not too much	Not too much	Not too much	Not too much	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
261	Satisfied	Approve	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #2	Statement #2	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Very well	(VOL) Don't know/Refused
262	Dissatisfied	Approve	Most of the time	Angry	(VOL) Never	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Only a little	Only a little	Moderately fair	A lot	A lot	Not too much	Not too much	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
263	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	(VOL) Don't know/Refused	Statement #1	Statement #1	(VOL) Neither/Both equally	Oppose	(VOL) Don't know/Refused	Some	Some	Some	Moderately fair	Not too much	Some	Some	Some	Some	(VOL) Don't know/Refused	Neutral toward religion	Neutral toward religion	Neutral toward religion	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
264	Dissatisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	(VOL) Neither/Both equally	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	A lot	Not fair at all	A lot	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
265	Dissatisfied	Approve	Hardly at all	Angry	Only some of the time	Yes, keeping promises	(VOL) Neither/Both equally	Statement #1	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	None at all	Only a little	Only a little	Moderately fair	(VOL) Don't know/Refused	Not too much	Not at all	Not at all	Some	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	Nothing at all
266	Dissatisfied	Approve	Most of the time	Basically content	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Some	Moderately fair	Some	A lot	A lot	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
267	Dissatisfied	Disapprove	Hardly at all	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	Some	Some	A lot	Some	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Unfriendly toward religion	(VOL) Don't know/Refused	Disapprove	Not too well	Nothing at all
268	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #2	Favor	Never fair game	A lot	Some	Some	Not fair at all	Not too much	A lot	A lot	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
269	(VOL) Don't know/Refused	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Only a little	Some	Not too fair	Not at all	Not too much	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should keep out of political matters	Approve	Very well	A lot
270	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	None at all	Moderately fair	Some	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
271	Satisfied	Approve	Some of the time	Basically content	Just about always	Yes, keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Statement #1	(VOL) Don't know/Refused	Never fair game	Only a little	Only a little	None at all	Very fair	Not at all	Not at all	Not at all	Not at all	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Somewhat well	Nothing at all
272	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Some	Not too fair	Not at all	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
273	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	(VOL) Don't know/Refused	Never fair game	A lot	A lot	Some	Not too fair	A lot	A lot	Not at all	A lot	Not at all	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
274	Dissatisfied	Disapprove	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	Not too much	Not too much	A lot	(VOL) Don't know/Refused	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
275	Satisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	A lot	Moderately fair	Not too much	A lot	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A little
276	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not at all	Some	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
277	(VOL) Don't know/Refused	Approve	Most of the time	Basically content	(VOL) Don't know/Refused	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Never fair game	Only a little	Only a little	Some	Moderately fair	Some	Some	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
278	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	(VOL) Neither/Both equally	Strongly oppose	Never fair game	Some	Some	A lot	Moderately fair	Not at all	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Not at all	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	Unfriendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
279	Satisfied	Approve	Most of the time	Angry	(VOL) Never	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	Some	A lot	A lot	Some	Not at all	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	(VOL) Don't know/Refused
280	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not fair at all	Not at all	A lot	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
281	Satisfied	Approve	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	A lot	Some	Not at all	Not at all	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
282	Dissatisfied	Disapprove	Most of the time	Angry	(VOL) Never	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #1	Statement #2	(VOL) Neither/Both equally	Favor	Never fair game	Some	Some	None at all	Moderately fair	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Some	Not at all	Some	(VOL) Don't know/Refused	Neutral toward religion	Friendly toward religion	(VOL) Don't know/Refused	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
283	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Oppose	(VOL) Don't know/Refused	A lot	A lot	Only a little	Not too fair	A lot	Some	A lot	(VOL) Don't know/Refused	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
284	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Never fair game	Some	Only a little	Some	Moderately fair	Not too much	Some	Some	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
285	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Never fair game	Only a little	Only a little	A lot	Moderately fair	Not at all	(VOL) Don't know/Refused	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
286	Satisfied	Approve	Hardly at all	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #1	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	A lot	Some	Some	Moderately fair	Some	Some	Not at all	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
287	(VOL) Don't know/Refused	Disapprove	Most of the time	Frustrated	(VOL) Never	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #2	Oppose	Never fair game	Some	Some	None at all	Moderately fair	Not at all	Not at all	Some	Not at all	Some	(VOL) Don't know/Refused	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused
288	Satisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #2	Strongly favor	Never fair game	Some	Some	Some	Moderately fair	Not at all	Some	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A little
289	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #2	Statement #1	Strongly favor	(VOL) Don't know/Refused	None at all	None at all	None at all	Not too fair	A lot	Not at all	A lot	Not at all	A lot	Losing influence	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should keep out of political matters	Approve	Not too well	Nothing at all
290	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	Some	Only a little	Not too fair	Not at all	Some	A lot	Not at all	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
291	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Favor	Never fair game	A lot	A lot	Some	Not too fair	A lot	A lot	A lot	Some	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A lot
292	Satisfied	Approve	Some of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Moderately fair	Not at all	Not too much	Not too much	(VOL) Don't know/Refused	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Somewhat well	Nothing at all
293	Dissatisfied	Disapprove	Most of the time	Frustrated	(VOL) Never	Yes, keeping promises	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Strongly oppose	Never fair game	A lot	A lot	None at all	Not too fair	A lot	A lot	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
294	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Never fair game	Some	(VOL) Don't know/Refused	A lot	Moderately fair	Not too much	A lot	A lot	A lot	(VOL) Don't know/Refused	Losing influence	Unfriendly toward religion	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	Approve	(VOL) Don't know/Refused	A lot
295	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Moderately fair	Not at all	Not at all	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
296	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Moderately fair	A lot	Not at all	Not too much	Not at all	Some	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not too well	A lot
297	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Sometimes fair game [OR IS IT]	A lot	Only a little	Only a little	Not too fair	Not at all	Some	Some	Not at all	Some	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A little
298	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not at all	Some	Not at all	Some	Not at all	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
299	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	Only a little	Not too fair	Not too much	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
300	(VOL) Don't know/Refused	Disapprove	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	A lot	Some	Moderately fair	Some	Some	Not too much	Some	Not too much	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
